method,path,operationId,tags,emptySchemas
PATCH,"/users/me","UsersController_updateProfile","","UpdateProfileDto"
POST,"/users/me/change-password","UsersController_changePassword","","ChangePasswordDto"
POST,"/users","UsersController_create","","CreateUserDto"
PATCH,"/users/{id}","UsersController_update","","UpdateUserDto"
PATCH,"/users/{id}/schedule","UsersController_updateSchedule","","UpdateWorkScheduleDto"
PATCH,"/profile","ProfileController_updateProfile","","UpdateProfileDto"
POST,"/profile/change-password","ProfileController_changePassword","","ChangePasswordDto"
POST,"/subscriptions/cancel","SubscriptionsController_cancelSubscription","","CancelSubscriptionDto"
POST,"/subscriptions/reactivate","SubscriptionsController_reactivateSubscription","","CancelSubscriptionDto"
POST,"/plans","PlansController_create","","CreatePlanDto"
PATCH,"/plans/{id}","PlansController_update","","UpdatePlanDto"
POST,"/alexis/whatsapp/message","AlexisController_processMessage","","ProcessMessageDto"
POST,"/alexis/dashboard/chat","AlexisController_dashboardChat","","DashboardChatDto"
PATCH,"/alexis/settings","AlexisController_updateSettings","","UpdateSettingsDto"
POST,"/public/booking/{salonSlug}/hold","PublicBookingController_createHold","","CreateHoldDto"
POST,"/public/booking/{salonSlug}/otp/send","PublicBookingController_sendOtp","","SendOtpDto"
POST,"/public/booking/{salonSlug}/otp/verify","PublicBookingController_verifyOtp","","VerifyOtpDto"
POST,"/public/booking/{salonSlug}/confirm","PublicBookingController_confirmBooking","","CreateOnlineBookingDto"
POST,"/public/booking/{salonSlug}/cancel","PublicBookingController_cancelBooking","","CancelOnlineBookingDto"
PUT,"/online-booking/settings","AdminBookingController_updateSettings","","UpdateOnlineBookingSettingsDto"
POST,"/online-booking/rules","AdminBookingController_createRule","","CreateClientBookingRuleDto"
PATCH,"/online-booking/rules/{ruleId}","AdminBookingController_updateRule","","UpdateClientBookingRuleDto"
POST,"/cash-registers/open","CashRegistersController_open","","OpenCashRegisterDto"
POST,"/cash-registers/close","CashRegistersController_close","","CloseCashRegisterDto"
POST,"/cash-registers/{id}/withdrawal","CashRegistersController_withdrawal","","CashMovementDto"
POST,"/cash-registers/{id}/deposit","CashRegistersController_deposit","","CashMovementDto"
POST,"/commissions/pay","CommissionsController_payCommissions","","PayCommissionsDto"
POST,"/commissions/pay-professional","CommissionsController_payProfessionalCommissions","","PayProfessionalCommissionsDto"
POST,"/loyalty/program","LoyaltyController_createProgram","","CreateProgramDto"
PATCH,"/loyalty/program","LoyaltyController_updateProgram","","UpdateProgramDto"
POST,"/loyalty/tiers","LoyaltyController_createTier","","CreateTierDto"
PATCH,"/loyalty/tiers/{id}","LoyaltyController_updateTier","","UpdateTierDto"
POST,"/loyalty/rewards","LoyaltyController_createReward","","CreateRewardDto"
PATCH,"/loyalty/rewards/{id}","LoyaltyController_updateReward","","UpdateRewardDto"
POST,"/loyalty/account/{clientId}/enroll","LoyaltyController_enrollClient","","EnrollClientDto"
POST,"/loyalty/account/{clientId}/adjust","LoyaltyController_adjustPoints","","AdjustPointsDto"
POST,"/loyalty/voucher/{code}/use","LoyaltyController_useVoucher","","UseVoucherDto"
PUT,"/services/{serviceId}/recipe","RecipesController_saveRecipe","","SaveRecipeDto"
PUT,"/services/{serviceId}/consumptions","ServiceConsumptionsController_replaceConsumptions","","UpdateServiceConsumptionsDto"
POST,"/services","ServicesController_create","","CreateServiceDto"
PATCH,"/services/{id}","ServicesController_update","","UpdateServiceDto"
POST,"/payment-methods","PaymentMethodsController_create","","CreatePaymentMethodDto"
PATCH,"/payment-methods/{id}","PaymentMethodsController_update","","UpdatePaymentMethodDto"
POST,"/payment-destinations","PaymentDestinationsController_create","","CreatePaymentDestinationDto"
PATCH,"/payment-destinations/{id}","PaymentDestinationsController_update","","UpdatePaymentDestinationDto"
POST,"/team","TeamController_invite","","CreateTeamMemberDto"
PATCH,"/team/{id}","TeamController_update","","UpdateTeamMemberDto"
POST,"/mercado-pago/create-pix","MercadoPagoController_createPix","","CreatePixDto"
POST,"/mercado-pago/create-preference","MercadoPagoController_createPreference","","CreatePreferenceDto"
POST,"/mercado-pago/webhook","MercadoPagoController_handleWebhook","","WebhookDto"
POST,"/support/impersonate","SupportController_createSupportSession","","CreateSupportSessionDto"
POST,"/support/consume-token","SupportController_consumeToken","","ConsumeSupportTokenDto"
PATCH,"/calendar/google/settings","CalendarController_updateSettings","","UpdateIntegrationSettingsDto"
POST,"/calendar/google/sync","CalendarController_sync","","ManualSyncDto"
POST,"/calendar/google/conflicts/resolve","CalendarController_resolveConflict","","ResolveConflictDto"
POST,"/calendar/google/conflicts/resolve-bulk","CalendarController_resolveConflictsBulk","","BulkResolveConflictsDto"
PUT,"/hair-profiles/client/{clientId}","HairProfileController_update","","UpdateHairProfileDto"
POST,"/hair-profiles","HairProfileController_upsert","","CreateHairProfileDto"
POST,"/recommendations/rules","RecommendationsController_createRule","","CreateRecommendationRuleDto"
PUT,"/recommendations/rules/{ruleId}","RecommendationsController_updateRule","","UpdateRecommendationRuleDto"
POST,"/recommendations/log","RecommendationsController_logRecommendation","","LogRecommendationDto"
POST,"/product-subscriptions/plans","ProductSubscriptionsController_createPlan","","CreatePlanDto"
PATCH,"/product-subscriptions/plans/{id}","ProductSubscriptionsController_updatePlan","","UpdatePlanDto"
POST,"/product-subscriptions/plans/{id}/items","ProductSubscriptionsController_addPlanItem","","AddPlanItemDto"
PATCH,"/product-subscriptions/{id}","ProductSubscriptionsController_updateSubscription","","UpdateSubscriptionDto"
POST,"/product-subscriptions/{id}/pause","ProductSubscriptionsController_pauseSubscription","","PauseSubscriptionDto"
POST,"/product-subscriptions/subscriptions/{id}/pause","ProductSubscriptionsController_pauseSubscriptionAlt","","PauseSubscriptionDto"
POST,"/product-subscriptions/{id}/cancel","ProductSubscriptionsController_cancelSubscription","","CancelSubscriptionDto"
POST,"/product-subscriptions/subscriptions/{id}/cancel","ProductSubscriptionsController_cancelSubscriptionAlt","","CancelSubscriptionDto"
PATCH,"/product-subscriptions/deliveries/{id}/status","ProductSubscriptionsController_updateDeliveryStatus","","UpdateDeliveryStatusDto"
POST,"/upsell/rules","UpsellController_createRule","","CreateUpsellRuleDto"
PATCH,"/upsell/rules/{id}","UpsellController_updateRule","","UpdateUpsellRuleDto"
POST,"/upsell/offers/{id}/accept","UpsellController_acceptOffer","","AcceptOfferDto"
POST,"/cart-links","CartLinksController_createLink","","CreateCartLinkDto"
PATCH,"/cart-links/{id}","CartLinksController_updateLink","","UpdateCartLinkDto"
POST,"/cart-links/public/{code}/convert","CartLinksController_convertPublicLink","","ConvertCartLinkDto"
POST,"/cart-links/{id}/convert","CartLinksController_convertLink","","ConvertCartLinkDto"
POST,"/reservations","ReservationsController_createReservation","","CreateReservationDto"
PATCH,"/reservations/{id}","ReservationsController_updateReservation","","UpdateReservationDto"
PATCH,"/reservations/{id}/status","ReservationsController_updateStatus","","UpdateReservationStatusDto"
POST,"/ab-tests","ABTestsController_createTest","","CreateABTestDto"
PATCH,"/ab-tests/{id}","ABTestsController_updateTest","","UpdateABTestDto"
POST,"/ab-tests/convert","ABTestsController_recordConversion","","RecordConversionDto"
POST,"/ai-assistant/chat","AIAssistantController_chat","","ChatMessageDto"
POST,"/ai-assistant/client/notes","AIAssistantController_createClientNote","","CreateClientNoteDto"
PATCH,"/ai-assistant/settings","AIAssistantController_updateSettings","","UpdateAISettingsDto"